University,Country,university_normalized
Université de Paris,France,universite de paris
Université de Tours,France,universite de tours
Université de Tunis El Manar,Tunisia,universite de tunis el manar
Université de Versailles Saint-Quentin-en-Yvelines,France,universite de versailles saint-quentin-en-yvelines
Université des Sciences et de la Technologie Houari Boumediene,Algeria,universite des sciences et de la technologie houari boumediene
Université Grenoble Alpes,France,universite grenoble alpes
Université Laval,Canada,universite laval
Université Paris Sciences et Lettres,France,universite paris sciences et lettres
Université Paris-Est Créteil Val de Marne,France,universite paris-est creteil val de marne
Université Sorbonne Paris Nord,France,universite sorbonne paris nord
Université Toulouse III - Paul Sabatier,France,universite toulouse iii - paul sabatier
Universiti Kebangsaan Malaysia,Malaysia,universiti kebangsaan malaysia
"University at Albany, The State University of New York",United States,"university at albany, the state university of new york"
"University at Buffalo, The State University of New York",United States,"university at buffalo, the state university of new york"
University of Agriculture Faisalabad,Pakistan,university of agriculture faisalabad
University of Agriculture in Kraków,Poland,university of agriculture in krakow
"University of Alabama, Birmingham",United States,"university of alabama, birmingham"
"University of Alabama, Tuscaloosa",United States,"university of alabama, tuscaloosa"
"University of Alaska, Fairbanks",United States,"university of alaska, fairbanks"
"University of Arkansas for Medical Sciences, Little Rock",United States,"university of arkansas for medical sciences, little rock"
"University of Arkansas, Fayetteville",United States,"university of arkansas, fayetteville"
University of Bari Aldo Moro,Italy,university of bari aldo moro
University of Caen Normandy,France,university of caen normandy
"University of Campania ""Luigi Vanvitelli""",Italy,"university of campania ""luigi vanvitelli"""
University of Campinas,Brazil,university of campinas
"University of Chemistry and Technology, Prague",Czech Republic,"university of chemistry and technology, prague"
University of Clermont Auvergne,France,university of clermont auvergne
"University of Colorado, Boulder",United States,"university of colorado, boulder"
"University of Colorado, Denver",United States,"university of colorado, denver"
University of Cordoba,Spain,university of cordoba
"University of Georgia, Athens",United States,"university of georgia, athens"
University of Guilan,Iran,university of guilan
"University of Hawaii, Manoa",United States,"university of hawaii, manoa"
"University of Illinois, Chicago",United States,"university of illinois, chicago"
"University of Illinois, Urbana-Champaign",United States,"university of illinois, urbana-champaign"
"University of Maine, Orono",United States,"university of maine, orono"
"University of Minnesota, Twin Cities",United States,"university of minnesota, twin cities"
"University of Missouri, Columbia",United States,"university of missouri, columbia"
"University of Missouri, Kansas City",United States,"university of missouri, kansas city"
"University of Nebraska, Lincoln",United States,"university of nebraska, lincoln"
University of New England,Australia,university of new england
"University of North Carolina, Chapel Hill",United States,"university of north carolina, chapel hill"
"University of North Carolina, Charlotte",United States,"university of north carolina, charlotte"
"University of North Carolina, Greensboro",United States,"university of north carolina, greensboro"
University of Padova,Italy,university of padova
University of Plymouth,United Kingdom,university of plymouth
University of Rennes 1,France,university of rennes 1
"University of South Carolina, Columbia",United States,"university of south carolina, columbia"
"University of South Florida, Tampa",United States,"university of south florida, tampa"
"University of Tennessee, Knoxville",United States,"university of tennessee, knoxville"
University of Texas Medical Branch at Galveston,United States,university of texas medical branch at galveston
University of Texas Southwestern Medical Center at Dallas,United States,university of texas southwestern medical center at dallas
University of the Chinese Academy of Sciences,China,university of the chinese academy of sciences
University of Tromsø - The Arctic University of Norway,Norway,university of tromso - the arctic university of norway
University of Ulster,United Kingdom,university of ulster
"University of Washington, Seattle",United States,"university of washington, seattle"
"University of Wisconsin, Madison",United States,"university of wisconsin, madison"
"University of Wisconsin, Milwaukee",United States,"university of wisconsin, milwaukee"
University of Yazd,Iran,university of yazd
Vellore Institute of Technology,India,vellore institute of technology
"Victoria University, Melbourne",Australia,"victoria university, melbourne"
Virginia Polytechnic Institute and State University,United States,virginia polytechnic institute and state university
Vrije Universiteit Amsterdam,Netherlands,vrije universiteit amsterdam
Wageningen University & Research,Netherlands,wageningen university & research
Wenzhou Medical University,China,wenzhou medical university
"West Pomeranian University of Technology, Szczecin",Poland,"west pomeranian university of technology, szczecin"
Western Sydney University,Australia,western sydney university
Western University,Canada,western university
Wrocław University of Science and Technology,Poland,wroclaw university of science and technology
Xi'An University of Technology,China,xi'an university of technology
