journal_title,alt_title,pissn,eissn,language,publisher,country_of_pub,APC,waiver,date_added_to_doaj,APC_in_dollar
Arquivos Brasileiros de Oftalmologia,NA,0004-2749,1678-2925,English,Conselho Brasileiro de Oftalmologia,Brazil,TRUE,FALSE,2004-04-23T21:31:00Z,96.688
Arquivos de Gastroenterologia,Archives of Gastroenterology,0004-2803,1678-4219,English,Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia (IBEPEGE),Brazil,FALSE,FALSE,2004-04-23T21:31:00Z,NA
Arquivos de Neuro-Psiquiatria,NA,0004-282X,1678-4227,English,Academia Brasileira de Neurologia (ABNEURO),Brazil,FALSE,FALSE,2004-04-23T21:31:00Z,NA
Ars Pharmaceutica,NA,0004-2927,2340-9894,"English, Spanish","Facultad de Farmacia, Universidad de Granada",Spain,FALSE,FALSE,2016-04-05T12:43:02Z,NA
Automatika,"Journal for Control, Measurement, Electronics, Computing and Communications",0005-1144,1848-3380,English,Taylor & Francis Group,United Kingdom,TRUE,TRUE,2018-07-30T14:46:30Z,411.2748
Beiträge zur Entomologie,Contributions to Entomology,0005-805X,NA,"English, German",Senckenberg Deutsches Entomologisches Institut,Germany,FALSE,FALSE,2020-01-29T16:05:51Z,NA
"Bijdragen tot de Taal-, Land- en Volkenkunde",Journal of the Humanities and Social Sciences of Southeast Asia and Oceania,0006-2294,2213-4379,"English, Dutch",BRILL,Netherlands,FALSE,FALSE,2011-02-14T15:37:48Z,NA
Die Bodenkultur,"Die Bodenkultur: Journal of Land Management, Food and Environment",0006-5471,NA,"English, German",Sciendo,Austria,FALSE,FALSE,2019-03-28T02:36:32Z,NA
Boletín Cultural y Bibliográfico,NA,0006-6184,NA,Spanish,Banco de la República,Colombia,FALSE,FALSE,2016-03-14T11:19:15Z,NA
Bothalia: African Biodiversity & Conservation,NA,0006-8241,2311-9284,English,South African National Biodiversity Institut,South Africa,FALSE,FALSE,2015-04-16T12:32:34Z,NA
Bragantia,Revista de Ciências Agronômicas,0006-8705,1678-4499,"English, Portuguese",Instituto Agronômico de Campinas,Brazil,TRUE,FALSE,2004-04-23T21:31:00Z,50
Brodogradnja,Shipbuilding,0007-215X,1845-5859,"English, Croatian",Faculty of Mechanical Engineering and Naval Architecture,Croatia,FALSE,FALSE,2015-06-21T09:09:31Z,NA
California Agriculture,NA,0008-0845,2160-8091,English,University of California Agriculture and Natural Resources,United States,FALSE,FALSE,2007-05-14T17:02:28Z,NA
Caryologia,NA,0008-7114,2165-5391,English,Firenze University Press,Italy,TRUE,FALSE,2020-03-03T09:41:46Z,176.93415000000002
Časopis pro Moderní Filologii,Journal for Modern Philology,0008-7386,2336-6591,"Czech, English","Univerzita Karlova, Filozofická fakulta",Czechia,FALSE,FALSE,2016-01-23T09:34:47Z,NA
Anales de la Cátedra Francisco Suárez,ACFS,0008-7750,2530-3716,Spanish,Universidad de Granada,Spain,FALSE,FALSE,2017-08-21T10:41:59Z,NA
CHIMIA,CHIMIA International Journal for Chemistry,0009-4293,2673-2424,"English, French, German",Swiss Chemical Society,Switzerland,FALSE,FALSE,2020-07-13T08:29:22Z,NA
Ciceroniana,NA,0009-6687,2532-5299,"English, French, German, Italian, Spanish",Università degli Studi di Torino,Italy,FALSE,FALSE,2017-11-13T11:05:25Z,NA
Ciencias Administrativas,NA,0009-6784,2314-3738,Spanish,Universidad Nacional de La Plata,Argentina,FALSE,FALSE,2013-10-18T16:21:16Z,NA
Cirugía del Uruguay,Revista Cirugía del Uruguay,0009-7381,1688-1281,Spanish,Sociedad de Cirugía del Uruguay,Uruguay,FALSE,FALSE,2021-05-28T09:21:18Z,NA
Cirugía y Cirujanos,NA,0009-7411,2444-054X,"Spanish, English",Permanyer,Spain,FALSE,FALSE,2021-03-29T08:50:56Z,NA
Collectanea Botanica,NA,0010-0730,1989-1067,"Catalan, English, French, Portuguese, Spanish",Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2008-04-13T14:08:53Z,NA
College and Research Libraries,NA,0010-0870,2150-6701,English,Association of College and Research Libraries,United States,FALSE,FALSE,2013-10-29T08:51:00Z,NA
Comprehensive Psychiatry,NA,0010-440X,1532-8384,English,Elsevier,United States,TRUE,TRUE,2019-09-10T13:58:17Z,2100
Croatica Chemica Acta,NA,0011-1643,1334-417X,English,Croatian Chemical Society,Croatia,FALSE,FALSE,2003-12-17T00:00:00Z,NA
Current Musicology,NA,0011-3735,2640-883X,English,Columbia University Libraries,United States,FALSE,FALSE,2020-10-22T11:06:02Z,NA
Current Therapeutic Research,NA,0011-393X,1879-0313,English,Elsevier,Netherlands,TRUE,FALSE,2015-01-19T18:21:04Z,1500
Dados: Revista de Ciências Sociais,NA,0011-5258,1678-4588,"English, French, Portuguese, Spanish",Universidade do Estado do Rio de Janeiro,Brazil,FALSE,FALSE,2004-04-06T14:54:54Z,NA
Darwiniana,NA,0011-6793,1850-1702,"English, Spanish",Instituto de Botánica Darwinion y el Museo Botánico de Córdoba,Argentina,FALSE,FALSE,2017-01-03T21:21:31Z,NA
Deutsches Ärzteblatt,NA,0012-1207,2199-7292,"English, German",Deutscher Ärzte-Verlag,Germany,FALSE,FALSE,2007-05-02T16:37:34Z,NA
Dyna,NA,0012-7353,2346-2183,"English, Spanish",Universidad Nacional de Colombia,Colombia,FALSE,FALSE,2006-05-22T13:41:07Z,NA
Edda,Nordisk Tidsskrift for Litteraturforskning,0013-0818,1500-1989,"Norwegian Bokmål, Danish, English, Norwegian Nynorsk, Swedish",Scandinavian University Press/Universitetsforlaget,Norway,FALSE,FALSE,2017-11-20T10:51:49Z,NA
Journal of the Egyptian Public Health Association,NA,0013-2446,2090-262X,English,SpringerOpen,United Kingdom,FALSE,FALSE,2019-09-05T07:56:24Z,NA
Ekonomski Anali,Economic Annals,0013-3264,1820-7375,English,"Faculty of Economics, Belgrade",Serbia,FALSE,FALSE,2010-09-27T17:43:55Z,NA
Electronics Letters,NA,0013-5194,1350-911X,English,Wiley,United Kingdom,TRUE,TRUE,2021-06-22T10:44:55Z,2200
Emerita,NA,0013-6662,1988-8384,Spanish,Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2017-01-31T11:29:19Z,NA
Greek Review of Social Research,Επιθεώρηση Κοινωνικών Ερευνών,0013-9696,2241-8512,Modern Greek (1453-),EKKE,Greece,FALSE,FALSE,2016-02-23T11:16:37Z,NA
Építőanyag: Journal of Silicate Based and Composite Materials,Építőanyag: JSBCM,0013-970X,2064-4477,"English, Hungarian",Scientific Society of the Silicate Industry (SZTE),Hungary,FALSE,FALSE,2015-02-20T17:48:53Z,NA
DIE ERDE: Journal of the Geographical Society of Berlin,NA,0013-9998,NA,English,Gesellschaft für Erdkunde zu Berlin,Germany,TRUE,FALSE,2014-09-29T15:01:00Z,412.84635000000003
Estudios Geográficos,NA,0014-1496,1988-8546,"English, Spanish",Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2012-03-08T16:11:28Z,NA
Revista de la Facultad de Ciencias Médicas de Córdoba,NA,0014-6722,1853-0605,"Spanish, English, Portuguese",Universidad Nacional de Córdoba,Argentina,FALSE,FALSE,2019-05-05T23:55:38Z,NA
Farmacja Polska,NA,0014-8261,2544-8552,Polish,Polish Pharmaceutical Society,Poland,TRUE,FALSE,2020-07-21T16:27:47Z,138.74976
Fennia: International Journal of Geography,NA,0015-0010,1798-5617,English,Geographical Society of Finland,Finland,FALSE,FALSE,2010-11-19T14:07:17Z,NA
Filosofia,NA,0015-1823,2704-8195,"English, German, Italian",Mimesis Edizioni,Italy,FALSE,FALSE,2020-01-30T11:22:44Z,NA
Filosoﬁcký časopis,The Philosophical Journal,0015-1831,2570-9232,"English, Czech, Slovak, German, French","Czech Academy of Sciences, Institute of Philosophy",Czechia,FALSE,FALSE,2021-02-25T11:49:30Z,NA
Florida Entomologist,NA,0015-4040,NA,English,Florida Entomological Society,United States,TRUE,FALSE,2003-11-20T00:00:00Z,747
Fluoride,Fluoride: Quarterly Journal of the International Society for Fluoride Research Inc.,0015-4725,2253-4083,"Chinese, English, Japanese, Spanish",International Society for Fluoride Research Inc.,New Zealand,FALSE,FALSE,2008-01-08T14:56:47Z,NA
Fysioterapeuten,NA,0016-3384,0807-9277,"Norwegian Bokmål, Danish, English, Norwegian Nynorsk, Swedish",Norwegian Physiotherapist Association,Norway,FALSE,FALSE,2019-04-09T11:28:17Z,NA
Gaceta Médica de México,NA,0016-3813,2696-1288,"English, Spanish",Permanyer,Spain,FALSE,FALSE,2021-03-26T14:11:14Z,NA
Gallia,NA,0016-4119,2109-9588,"English, French",CNRS Éditions,France,FALSE,FALSE,2020-06-28T16:26:27Z,NA
Genus,Journal of Population Sciences,0016-6987,2035-5556,English,SpringerOpen,United Kingdom,TRUE,FALSE,2018-11-26T17:15:16Z,1178.98776
Geographica Helvetica,GH,0016-7312,2194-8798,"Italian, German, French, English",Copernicus Publications,Germany,FALSE,TRUE,2015-11-30T15:04:07Z,NA
Netherlands Journal of Geosciences,Geologie en Mijnbouw,0016-7746,1573-9708,English,Cambridge University Press,United Kingdom,TRUE,TRUE,2020-09-24T15:09:55Z,2563.61292
Известия высших учебных заведений: Геология и разведка,Proceedings of Higher Educational Establishments: Geology and Exploration,0016-7762,2618-8708,Russian,Sergo Ordzhonikidze Russian State University for Geological Prospecting,Russian Federation,FALSE,FALSE,2019-09-22T13:12:44Z,NA
Geologija,NA,0016-7789,1854-620X,"English, Slovenian",Geological Survey of Slovenia,Slovenia,FALSE,FALSE,2010-11-16T10:55:31Z,NA
Ghana Medical Journal,NA,0016-9560,2616-163X,English,Ghana Medical Association,Ghana,FALSE,FALSE,2019-04-23T20:14:44Z,NA
Ginekologia Polska,NA,0017-0011,NA,"English, Polish",VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica,Poland,TRUE,FALSE,2017-05-16T10:03:30Z,471.8244
Glasnik Advokatske komore Vojvodine,Glasnik - Journal of legal theory and practice of the Bar Association of Vojvodina,0017-0933,2683-5967,"English, Serbian","Bar Association of Vojvodina, Novi Sad",Serbia,FALSE,FALSE,2020-06-30T09:58:44Z,NA
Grasas y Aceites,NA,0017-3495,1988-4214,"English, Spanish",Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2008-07-17T13:56:22Z,NA
"Greek, Roman, and Byzantine Studies",NA,0017-3916,2159-3159,English,Duke University,United States,FALSE,FALSE,2011-03-04T14:54:44Z,NA
Heimen,NA,0017-9841,1894-3195,"Norwegian Bokmål, Norwegian Nynorsk",Scandinavian University Press/Universitetsforlaget,Norway,FALSE,FALSE,2017-11-20T10:47:36Z,NA
Hereditas,NA,0018-0661,1601-5223,English,BMC,United Kingdom,TRUE,TRUE,2003-01-17T14:11:59Z,2042.6648400000001
Hispania,NA,0018-2141,1988-8368,Spanish,Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2017-05-24T10:31:43Z,NA
Hispania Sacra,NA,0018-215X,1988-4265,Spanish,Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2008-04-13T14:09:25Z,NA
Indian Heart Journal,NA,0019-4832,NA,English,Elsevier,Netherlands,FALSE,TRUE,2018-01-25T15:34:12Z,NA
Indian Journal of Anaesthesia,NA,0019-5049,0976-2817,English,Wolters Kluwer Medknow Publications,India,FALSE,FALSE,2010-03-31T16:15:55Z,NA
Indian Journal of Dermatology,NA,0019-5154,1998-3611,English,Wolters Kluwer Medknow Publications,India,FALSE,FALSE,2005-12-09T16:18:54Z,NA
Indian Journal of Experimental Biology,NA,0019-5189,0975-1009,English,CSIR-NISCAIR,India,FALSE,FALSE,2020-11-05T08:28:34Z,NA
Indian Journal of Psychiatry,NA,0019-5545,1998-3794,English,Wolters Kluwer Medknow Publications,India,FALSE,FALSE,2017-08-31T11:50:48Z,NA
Indian Journal of Public Health,NA,0019-557X,2229-7693,English,Wolters Kluwer Medknow Publications,India,TRUE,FALSE,2018-09-07T09:35:16Z,53.46
Informes de la Construccion,NA,0020-0883,1988-3234,"English, Spanish",Consejo Superior de Investigaciones Científicas,Spain,FALSE,FALSE,2008-07-17T17:19:09Z,NA
Measurement + Control,Measurement and Control,0020-2940,2051-8730,English,SAGE Publishing,United Kingdom,TRUE,TRUE,2019-04-03T13:16:55Z,1200
Arquivos do Instituto Biológico,"Journal of Animal, Plant Sanity and Environmental Protection",0020-3653,1808-1657,English,Instituto Biológico,Brazil,TRUE,FALSE,2015-05-08T14:00:17Z,154.7008
Revista do Instituto de Estudos Brasileiros,NA,0020-3874,NA,"English, Portuguese",Instituto de Estudos Brasileiros,Brazil,FALSE,FALSE,2017-01-19T13:56:29Z,NA
Intereconomics,Review of European Economic Policy,0020-5346,1613-964X,English,Springer,Switzerland,FALSE,FALSE,2021-03-25T13:58:28Z,NA
International Dental Journal,NA,0020-6539,1875-595X,English,Elsevier,United Kingdom,TRUE,TRUE,2021-04-12T06:44:40Z,3495.8358
Annali dell'Istituto Superiore di Sanità,NA,0021-2571,2384-8553,English,Istituto Superiore di Sanità,Italy,FALSE,FALSE,2008-04-02T11:45:12Z,NA
Jornal de Pediatria,NA,0021-7557,1678-4782,English,Elsevier,Netherlands,TRUE,TRUE,2004-04-23T21:31:00Z,1000
Journal of Biological Chemistry,NA,0021-9258,1083-351X,English,Elsevier,United States,TRUE,TRUE,2021-02-15T11:28:03Z,2500
Journal of Glaciology,NA,0022-1430,1727-5652,English,Cambridge University Press,United Kingdom,TRUE,TRUE,2017-03-31T12:26:06Z,1645.0992
Journal of Lipid Research,NA,0022-2275,1539-7262,English,Elsevier,United States,TRUE,TRUE,2021-03-19T09:35:37Z,2500
Journal of Nematology,NA,0022-300X,2640-396X,English,Exeley Inc.,United States,FALSE,FALSE,2019-08-15T09:20:12Z,NA
Journal of Postgraduate Medicine,NA,0022-3859,0972-2823,English,Wolters Kluwer Medknow Publications,India,FALSE,FALSE,2003-11-04T00:00:00Z,NA
Journal of Scientific and Industrial Research,NA,0022-4456,0975-1084,English,CSIR-NISCAIR,India,FALSE,FALSE,2020-06-20T03:59:37Z,NA
Kemija u Industriji,NA,0022-9830,1334-9090,"Croatian, English",Croatian Society of Chemical Engineers,Croatia,FALSE,FALSE,2017-03-30T08:42:30Z,NA
Клінічна хірургія,Klinicheskaia khirurgiia,0023-2130,2522-1396,"Russian, Ukrainian",Liga-Inform ltd.,Ukraine,FALSE,FALSE,2018-08-07T20:31:40Z,NA
Koers : Bulletin for Christian Scholarship,Koers : Bulletin vir Christelike Wetenskap,0023-270X,2304-8557,"Afrikaans, English",Scriber Editorial Systems,South Africa,TRUE,FALSE,2013-04-25T17:02:32Z,35.365194
Kunst og Kultur,NA,0023-5415,1504-3029,"Norwegian Bokmål, Norwegian Nynorsk",Scandinavian University Press/Universitetsforlaget,Norway,FALSE,FALSE,2017-11-21T15:25:30Z,NA
Kwartalnik Historii Kultury Materialnej,The Quarterly of the History of Material Culture,0023-5881,2719-6496,"Polish, English",Institute of Archaeology and Ethnology Polish Academy of Sciences,Poland,FALSE,FALSE,2021-06-14T10:06:48Z,NA
Icelandic Medical Journal,Læknablaðið,0023-7213,NA,Icelandic,The Icelandic Medical Association,Iceland,FALSE,FALSE,2016-09-15T11:47:20Z,NA
Landtechnik,NA,0023-8082,2700-7898,"German, English",Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.,Germany,FALSE,FALSE,2015-12-09T14:33:57Z,NA
Revista Lecciones y Ensayos,NA,0024-0079,2362-4620,Spanish,Editorial Universitaria de Buenos Aires,Argentina,FALSE,FALSE,2015-03-31T19:48:47Z,NA
Les,Wood,0024-1067,2590-9932,"English, Slovenian","University of Ljubljana, Biotechnical Faculty",Slovenia,FALSE,FALSE,2019-09-22T13:56:34Z,NA
Linguistica,NA,0024-3922,2350-420X,"Slovenian, Italian, German, French, English","Znanstvena založba Filozofske fakultete Univerze v Ljubljani (Ljubljana University Press, Faculty of Arts)",Slovenia,FALSE,FALSE,2015-11-07T20:25:09Z,NA
Literatura Ludowa,NA,0024-4708,2544-2872,"English, Polish, Russian",Polskie Towarzystwo Ludoznawcze,Poland,FALSE,FALSE,2019-01-22T12:21:36Z,NA
Maal og Minne,NA,0024-855X,1890-5455,"Danish, English, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,Norway,FALSE,FALSE,2018-06-25T09:36:56Z,NA
Indonesian Journal of Geography,NA,0024-9521,2354-9114,English,Universitas Gadjah Mada,Indonesia,TRUE,FALSE,2016-08-18T16:20:17Z,100
Matematički Vesnik,NA,0025-5165,2406-0682,English,Mathematical Society of Serbia,Serbia,FALSE,FALSE,2016-11-26T10:23:38Z,NA
Medicina (Buenos Aires),NA,0025-7680,1669-9106,"English, Spanish",Fundación Revista Medicina,Argentina,TRUE,TRUE,2010-10-26T15:42:35Z,31.169999999999998
Medicine,NA,0025-7974,1536-5964,English,Wolters Kluwer,United States,TRUE,FALSE,2015-03-19T11:26:55Z,1950
Journal of the Meteorological Society of Japan,JMSJ,0026-1165,NA,English,Meteorologial Society of Japan,Japan,TRUE,TRUE,2018-04-24T14:42:29Z,2006.3999999999999
Micronesica,NA,0026-279X,NA,English,University of Guam Press,Guam,TRUE,FALSE,2013-10-15T15:25:37Z,350
Milk Science International,Milchwissenschaft,0026-3788,2567-9538,English,Hochschule Hannover – University of Applied Sciences and Arts Fakultaet 2 - Faculty 2 Abteilung Bioverfahrenstechnik - Department of Bioprocess Engineering Heisterbergallee 10 A D-30453 Hannover,Germany,TRUE,TRUE,2021-02-03T09:21:12Z,353.86830000000003
Bulletin of the Mineral Research and Exploration,NA,0026-4563,NA,English,General Directorate of Mineral Research and Exploration,Turkey,FALSE,FALSE,2018-03-19T15:01:04Z,NA
Mljekarstvo,NA,0026-704X,1846-4025,"Croatian, English",Croatian Dairy Union,Croatia,FALSE,FALSE,2007-04-24T10:00:34Z,NA
Moneta e Credito,NA,0026-9611,2037-3651,Italian,Associazione Economia civile,Italy,FALSE,FALSE,2010-11-12T12:41:50Z,NA
Annals of the College of Medicine Mosul,مجلة طب الموصل,0027-1446,2309-6217,English,University of Mosul,Iraq,TRUE,FALSE,2020-05-18T14:02:45Z,85.75
Journal of Nepal Medical Association,NA,0028-2715,1815-672X,English,Nepal Medical Association,Nepal,FALSE,FALSE,2017-02-10T14:56:41Z,NA
Norsk Filosofisk Tidsskrift,NA,0029-1943,1504-2901,"Norwegian Bokmål, Norwegian Nynorsk",Scandinavian University Press/Universitetsforlaget,Norway,FALSE,FALSE,2017-11-21T15:27:52Z,NA
Tidsskrift for Den norske legeforening,Journal of the Norwegian Medical Association,0029-2001,0807-7096,"English, Norwegian",Den norske legeforening,Norway,FALSE,FALSE,2020-04-15T09:25:16Z,NA
North Carolina Libraries,NA,0029-2540,NA,English,North Carolina Library Association,United States,FALSE,FALSE,2006-11-06T14:49:32Z,NA
The Nucleus,NA,0029-5698,2306-6539,English,Pakistan Institute of Nuclear Science and Technology (PINSTECH),Pakistan,FALSE,FALSE,2017-09-21T08:54:05Z,NA
Nukleonika,NA,0029-5922,NA,English,Sciendo,Poland,TRUE,FALSE,2015-07-01T08:56:58Z,53.080245000000005
Onderstepoort Journal of Veterinary Research,NA,0030-2465,2219-0635,English,AOSIS,South Africa,FALSE,FALSE,2010-12-03T11:29:26Z,NA
Paediatrica Indonesiana,NA,0030-9311,2338-476X,English,Indonesian Pediatric Society Publishing House,Indonesia,FALSE,FALSE,2013-05-19T13:22:08Z,NA
Pakistan Armed Forces Medical Journal,NA,0030-9648,2411-8842,English,The Army Press,Pakistan,TRUE,FALSE,2016-07-20T15:49:11Z,6.2379999999999995
Pamiętnik Teatralny,Theatrical Memoir,0031-0522,2658-2899,"Polish, English",Institute of Art of the Polish Academy of Sciences,Poland,FALSE,FALSE,2021-02-22T15:38:15Z,NA
Papéis Avulsos de Zoologia,NA,0031-1049,1807-0205,"English, Portuguese, Spanish",Universidade de São Paulo,Brazil,FALSE,FALSE,2004-04-23T21:31:01Z,NA
Pedagogika,NA,0031-3815,2336-2189,"Czech, English","Charles University, Faculty of Education",Czechia,FALSE,FALSE,2020-10-02T08:55:30Z,NA
Pensamiento. Revista de Investigación e Información Filosófica,NA,0031-4749,2386-5822,Spanish,Universidad Pontificia Comillas,Spain,FALSE,FALSE,2017-06-30T10:20:07Z,NA
Phytopathologia Mediterranea,NA,0031-9465,1593-2095,English,Firenze University Press,Italy,TRUE,FALSE,2017-03-09T14:32:30Z,884.6707500000001
Platinum Metals Review,NA,0032-1400,1471-0676,English,Johnson Matthey Plc,United Kingdom,FALSE,FALSE,2003-09-08T00:00:00Z,NA
Polarforschung,PolF,0032-2490,2190-1090,"English, German",Copernicus Publications,Germany,FALSE,FALSE,2021-07-12T14:43:26Z,NA
Politička Misao,Croatian Political Science Review,0032-3241,1846-8721,"Croatian, English","University of Zagreb, Faculty of Political Science",Croatia,FALSE,FALSE,2018-05-15T18:57:30Z,NA
Postępy Higieny i Medycyny Doświadczalnej,Advances in Hygiene and Experimental Medicine,0032-5449,1732-2693,"Polish, English",Index Copernicus International S.A.,Poland,TRUE,FALSE,2010-04-07T13:36:41Z,282.6384
Poultry Science,NA,0032-5791,1525-3171,English,Elsevier,United States,TRUE,TRUE,2020-07-06T09:10:50Z,2000
Prismet,NA,0032-8847,2535-311X,"Norwegian Bokmål, Danish, English, Swedish",Kirkelig Pedagogisk Senter (IKO),Norway,TRUE,FALSE,2017-11-17T13:51:20Z,784.798
Przegląd Komunikacyjny,Transportation Overview,0033-2232,2544-6037,"English, Polish",SITK RP,Poland,FALSE,FALSE,2020-05-12T12:32:38Z,NA
Przegląd Spawalnictwa,Welding Technology Review,0033-2364,2449-7959,English,Publishing Agency - Welding Technology Review,Poland,FALSE,FALSE,2019-03-19T09:51:03Z,NA
Przegląd Dermatologiczny,Dermatology Review,0033-2526,2084-9893,"English, Polish",Termedia Publishing House,Poland,FALSE,FALSE,2017-01-31T10:15:29Z,NA
Psyche: A Journal of Entomology,NA,0033-2615,1687-7438,English,Hindawi Limited,United Kingdom,TRUE,TRUE,2008-01-22T13:02:45Z,900
Psychologica Belgica,NA,0033-2879,2054-670X,English,Ubiquity Press,United Kingdom,TRUE,FALSE,2014-10-29T15:01:48Z,822.5496
Quaderni di Sociologia,NA,0033-4952,2421-5848,"English, Italian",Rosenberg & Sellier,Italy,FALSE,FALSE,2017-07-14T07:43:11Z,NA
Raumforschung und Raumordnung,Raumforschung und Raumordnung Spatial Research and Planning,0034-0111,1869-4179,"German, English",oekom verlag GmbH,Germany,TRUE,TRUE,2020-01-06T10:39:21Z,294.89025000000004
Reinwardtia,"Reinwardtia: A Journal on Taxonomy Botany, Plant Sociology and Ecology",0034-365X,2337-8824,English,Indonesian Institute of Sciences,Indonesia,FALSE,FALSE,2015-10-19T18:52:06Z,NA
Rheumatology,Reumatologia,0034-6233,2084-9834,English,Termedia Publishing House,Poland,FALSE,FALSE,2016-11-27T14:52:35Z,NA
Revista Argentina de Cardiología,NA,0034-7000,1850-3748,"English, Spanish",Sociedad Argentina de Cardiología,Argentina,FALSE,FALSE,2006-03-07T10:56:27Z,NA
Revista Brasileira de Anestesiologia,NA,0034-7094,1806-907X,"English, Portuguese, Spanish",Sociedade Brasileira de Anestesiologia,Brazil,FALSE,FALSE,2004-04-23T21:31:01Z,NA
Revista Brasileira de Cancerologia,NA,0034-7116,2176-9745,"English, Portuguese",Instituto Nacional de Câncer José Alencar Gomes da Silva (INCA),Brazil,FALSE,FALSE,2020-11-19T20:33:50Z,NA
Revista Brasileira de Economia,NA,0034-7140,1806-9134,"English, Portuguese",Fundação Getúlio Vargas,Brazil,TRUE,FALSE,2004-04-23T21:31:01Z,69.61536
