affiliationid,normalizedname,displayname,university_normalized,University,Country
178535277,university of the west of england,University of the West of England,university of the west of england,NA,NA
180606324,ministry of water resources and irrigation,Ministry of Water Resources and Irrigation,ministry of water resources and irrigation,NA,NA
196051555,shahid chamran university of ahvaz,Shahid Chamran University of Ahvaz,shahid chamran university of ahvaz,NA,NA
222620865,friedensau adventist university,Friedensau Adventist University,friedensau adventist university,NA,NA
280119520,national rural health alliance,National Rural Health Alliance,national rural health alliance,NA,NA
864665649,martinrea international inc,Martinrea International Inc.,martinrea international inc.,NA,NA
884160149,arcam,Arcam,arcam,NA,NA
895704921,government first grade college kolar gold fields,"Government First Grade College, Kolar Gold Fields","government first grade college, kolar gold fields",NA,NA
899923371,institut catholique de paris,Institut Catholique de Paris,institut catholique de paris,NA,NA
924680084,thoratec,Thoratec,thoratec,NA,NA
929800949,international metalworking companies,International Metalworking Companies,international metalworking companies,NA,NA
1281735042,natural resources canada,Natural Resources Canada,natural resources canada,NA,NA
1293631320,american institutes for research,American Institutes for Research,american institutes for research,NA,NA
1300678687,madras institute of orthopaedics and traumatology,Madras Institute of Orthopaedics and Traumatology,madras institute of orthopaedics and traumatology,NA,NA
1312156311,nuclear fuel complex,Nuclear Fuel Complex,nuclear fuel complex,NA,NA
1320467954,library company of philadelphia,Library Company of Philadelphia,library company of philadelphia,NA,NA
1321167951,frontier natural products co op,Frontier Natural Products Co-op,frontier natural products co-op,NA,NA
1323563964,emirates college of technology,Emirates College of Technology,emirates college of technology,NA,NA
1330136163,rauland borg,Rauland Borg,rauland borg,NA,NA
1334832741,neighborhood assistance corporation of america,Neighborhood Assistance Corporation of America,neighborhood assistance corporation of america,NA,NA
1336359234,population research institute,Population Research Institute,population research institute,NA,NA
1340731699,academie francaise,Académie française,academie francaise,NA,NA
1343858860,dutch ministry of agriculture nature and food quality,"Dutch Ministry of Agriculture, Nature and Food Quality","dutch ministry of agriculture, nature and food quality",NA,NA
2799431996,new york eye and ear infirmary,New York Eye and Ear Infirmary,new york eye and ear infirmary,NA,NA
2799707979,swami vivekanand subharti university,Swami Vivekanand Subharti University,swami vivekanand subharti university,NA,NA
2799823220,american society for mass spectrometry,American Society for Mass Spectrometry,american society for mass spectrometry,NA,NA
2800206598,william jessup university,William Jessup University,william jessup university,NA,NA
2800290716,mount prospect public library,Mount Prospect Public Library,mount prospect public library,NA,NA
